scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.255369e-05,0.5875589999999999,0.6144795999999999,0.6567323029999999,0.00392672,0.646745,0.00322826,0.0012978249999999,0.001976351,0.0015344979999999,1,2,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.050572e-05,0.5338811,0.7109749940000001,0.7680361988899997,0.004223795,0.75701491,0.0033310429999999,0.0015563539999999,0.002285915,0.00191009689,1,2,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.317651e-05,0.609684,0.6284963000000001,0.67770559,0.00402714,0.6674760000000001,0.00330046,0.0013293049999999,0.002025098,0.001572685,1,1,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.039247e-05,0.5227429,0.7028675649999999,0.7597923692099999,0.004145068,0.7489902399999999,0.003246844,0.001531535,0.0022469553,0.00187868221,1,1,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.304077e-05,0.6030409999999999,0.6177836,0.66640906,0.00397518,0.6563030000000001,0.00327259,0.001314666,0.001996605,0.001543624,1,1,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.07349e-05,0.5404333,0.7105286319999999,0.7730266100599998,0.0042321109999999,0.76197852,0.003346369,0.001560176,0.0022865892,0.00190943406,1,1,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.33234e-05,0.619255,0.6342068000000001,0.6838639910000001,0.00408092,0.673493,0.00335822,0.001347018,0.002051139,0.001584833,1,1,3,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.073481e-05,0.5410828000000001,0.7115684870000001,0.7737280358399999,0.004236552,0.76266475,0.00335306,0.001562814,0.0022878017,0.00191085984,1,1,3,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.296441e-05,0.5948859999999999,0.6117751,0.661862238,0.00391958,0.651891,0.00322273,0.001298406,0.001975936,0.001530522,1,1,4,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.0827730000000002e-05,0.5408898,0.7095325790000001,0.7737388088899999,0.0042248,0.76270872,0.003341022,0.0015570929999999,0.0022835741,0.00190717389,1,1,4,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.276634e-05,0.5907600000000001,0.6169299,0.663696672,0.00392103,0.6537000000000001,0.00322901,0.001302331,0.001988207,0.001544301,1,1,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.053238e-05,0.5305420999999999,0.7094024320000001,0.7683907892799999,0.00418773,0.7574455800000001,0.00331514,0.00154519,0.0022655665,0.00189714928,1,1,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.27585e-05,0.6008439999999999,0.6286170999999999,0.6705893430000001,0.00401861,0.660379,0.0032904,0.001328817,0.002023706,0.001572516,2,2,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.0506480000000002e-05,0.5364744,0.713132366,0.76955188145,0.004238529,0.75849171,0.003343209,0.001562917,0.0022927182,0.00191551645,2,2,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.229093e-05,0.574643,0.6176406,0.6584429349999997,0.00394971,0.6484369999999999,0.00320637,0.001308586,0.002001383,0.0015412689999999,2,2,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.048203e-05,0.5340786000000001,0.710475396,0.7668072271399998,0.00422716,0.75577588,0.003335816,0.001559219,0.0022856878,0.0019091521399999,2,2,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2891689999999998e-05,0.6105619999999999,0.6344385,0.677381275,0.00407752,0.667027,0.00334617,0.001346012,0.002054041,0.001584573,2,2,3,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.0471680000000002e-05,0.5389074,0.7166235409999999,0.7728474507999997,0.00426523,0.76170499,0.0033818159999999,0.0015720449999999,0.0023019574,0.0019233698,2,2,3,2,2,4,3,4,2,5,3,5,0
