scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.549582,9.95809,11.52808,10.31101,15.112646,0.483515,13.06068,0.745042,0.3614969999999999,0.461912,3,2,4,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.495495,9.77382,11.32719,10.16423,14.713041000000002,0.48165,12.67177,0.740358,0.360454,0.458809,3,2,5,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.51714,9.93604,8.872069999999999,10.05607,14.412788,0.4801399999999999,12.42148,0.725372,0.358879,0.426917,3,1,1,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.535419,9.92613,10.90233,10.2845,14.993441,0.48018,12.96472,0.738739,0.35798,0.451822,3,1,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.475954,9.84953,9.05198,10.03953,14.432609,0.477972,12.44027,0.726308,0.359042,0.429017,3,1,3,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwhi_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.522311,9.95373,8.4189,10.04215,14.40443,0.479839,12.419,0.723525,0.35953,0.4225359999999999,3,1,4,2,1,5,3,6,3,4,1
ssp_socio3_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.472802,9.73681,9.22669,9.94637,14.452079,0.47712,12.46139,0.724182,0.357858,0.431529,3,1,5,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.561427,9.95637,11.46021,10.26264,15.016541,0.482839,12.97074,0.742649,0.360168,0.4601449999999999,1,2,1,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.55223,9.90534,11.41563,10.23057,14.980306999999998,0.482159,12.937259999999998,0.7414099999999999,0.360079,0.459399,1,2,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.515987,9.86117,11.4182,10.24326,14.848287000000001,0.482704,12.8024,0.742993,0.360912,0.459278,1,2,3,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.576406,9.98131,11.50905,10.29618,15.201810999999998,0.482671,13.153099999999998,0.743725,0.360419,0.461896,1,2,4,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.520261,9.78903,11.29173,10.13921,14.861061999999999,0.479966,12.826,0.738213,0.358932,0.457951,1,2,5,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.566041,9.93248,8.92775,10.04624,14.620568999999998,0.481772,12.62825,0.7244539999999999,0.357842,0.4282510000000001,1,1,1,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.577735,9.90219,11.04749,10.28737,15.236849999999997,0.484516,13.204479999999998,0.7369180000000001,0.356912,0.454024,1,1,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.523426,9.87513,9.01316,10.02693,14.547563,0.477691,12.55925,0.723676,0.358135,0.4288109999999999,1,1,3,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwlo_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.580818,9.94318,8.438989999999999,10.02825,14.605689,0.481967,12.61951,0.7222109999999999,0.358541,0.42346,1,1,4,2,1,5,3,6,3,4,1
ssp_socio3_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.537561,9.72485,9.31329,9.92844,14.702958,0.480007,12.71117,0.722141,0.356517,0.433123,1,1,5,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.539848,9.93899,11.47327,10.26455,14.958395000000001,0.483252,12.91175,0.7426699999999999,0.360651,0.460072,2,2,1,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.541034,9.89514,11.4269,10.23705,14.945995000000002,0.482407,12.901790000000002,0.7417779999999999,0.3604699999999999,0.45955,2,2,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.502109,9.85151,11.43165,10.24871,14.809648999999999,0.48301,12.76263,0.743367,0.361359,0.459283,2,2,3,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.551949,9.96125,11.52609,10.30818,15.127391,0.483475,13.07583,0.744816,0.361324,0.461946,2,2,4,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.496751,9.77479,11.31463,10.1529,14.804373,0.481376,12.76609,0.7389819999999999,0.3597309999999999,0.4581940000000001,2,2,5,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.520277,9.94424,8.88448,10.05641,14.463451000000001,0.479995,12.47214,0.725175,0.358724,0.427417,2,1,1,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.535232,9.91475,10.91444,10.26912,15.035002,0.481023,13.00778,0.736919,0.357353,0.451927,2,1,2,2,1,5,3,6,3,0,1
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.482285,9.85507,9.04684,10.04145,14.453678000000002,0.47858,12.46145,0.7258249999999999,0.358838,0.428985,2,1,3,2,1,5,3,6,3,2,1
ssp_socio3_ag5_gwmed_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.525836,9.96042,8.41041,10.04239,14.431250999999998,0.479591,12.44624,0.723352,0.35948,0.422588,2,1,4,2,1,5,3,6,3,4,1
ssp_socio3_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.476674,9.74045,9.23094,9.94294,14.488760000000001,0.477121,12.4984,0.7238629999999999,0.357615,0.4317609999999999,2,1,5,2,1,5,3,6,3,2,1
