scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_socio2_ag5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00803219,24.5084,0.01474875,4.26042,4.377550185,0.0120733,4.34216,0.0194685,0.001281375,0.00256701,2,1,4,1,1,5,2,2,0,6,5,7,6,0,3,6
ssp_socio2_ag5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802691,24.4391,0.01456506,4.2359800000000005,4.328990564000001,0.01228338,4.29322,0.01962312,0.001291184,0.00257288,2,1,5,1,1,5,2,2,0,6,5,7,6,0,3,6
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00863562,28.0869,0.01749076,4.49106,4.115507794000001,0.01389067,4.07626,0.0220736,0.001718686,0.0015648379999999,3,2,1,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00855084,28.2456,0.01760145,4.6259700000000015,4.206503756999999,0.01387585,4.16677,0.0224965,0.001742773,0.001618634,3,2,2,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00792587,26.5798,0.01655152,4.34888,3.973877277,0.0131917,3.93624,0.02121686,0.001639316,0.001589401,3,2,3,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00883836,28.9284,0.01825437,4.73686,4.344779988,0.01410557,4.30438,0.0228474,0.0017919989999999,0.001655019,3,2,4,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0085354,28.6906,0.0179271199999999,4.6994,4.300251667,0.0142700999999999,4.259440000000001,0.02309,0.00180459,0.001646977,3,2,5,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00852591,28.0588,0.0177657999999999,4.52545,4.35116777,0.01368108,4.31216,0.02181895,0.001704806,0.001802934,3,1,1,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0085118,28.5537,0.01759198,4.76958,4.320914943,0.01375002,4.28134,0.0223981,0.001728884,0.001697939,3,1,2,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00792717,26.9061,0.01674739,4.37049,3.9732484439999998,0.01309473,3.93574,0.02128155,0.001618829,0.001513335,3,1,3,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00883634,29.135,0.01847255,4.76504,4.418924103000001,0.01398001,4.37865,0.022865,0.001780088,0.001649005,3,1,4,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00873959,28.9537,0.01819345,4.81127,4.410662916000001,0.01425994,4.3697300000000014,0.0231445,0.001794201,0.001734275,3,1,5,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00855504,27.8839,0.01752037,4.47131,4.183580141,0.01374863,4.14451,0.022041,0.001709427,0.001571084,1,2,1,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0084927199999999,28.1292,0.0173766,4.6541,4.339120744000001,0.01387349,4.29936,0.0224919,0.0017439229999999,0.001651431,1,2,2,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802922,26.7892,0.01640059,4.39963,4.023334756000001,0.01321192,3.98577,0.02118681,0.001615862,0.001550164,1,2,3,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00884156,28.8549,0.01825106,4.7121900000000005,4.410943333,0.01405181,4.37057,0.0228822999999999,0.001788121,0.001651102,1,2,4,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00855335,28.7159,0.01795958,4.70056,4.318000479,0.01427789,4.27722,0.0230539,0.001803834,0.001644855,1,2,5,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00852492,28.1068,0.01776485,4.556080000000001,4.523263977,0.01366416,4.4841,0.02169736,0.001696488,0.002105969,1,1,1,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00848439,29.111,0.01817291,4.662059999999999,4.387210418000001,0.01364135,4.34808,0.0222084,0.001704266,0.001576402,1,1,2,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00794729,26.8154,0.01680858,4.35602,4.1665027210000005,0.01328337,4.12872,0.02135822,0.0016220429999999,0.0015190879999999,1,1,3,1,1,1,4,2,0,3,5,3,3,0,3,6
ssp_socio4_ag1_gwlo_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00887187,29.1648,0.01856415,4.78603,4.603550213999999,0.01406963,4.563269999999999,0.0226404,0.001783151,0.001787033,1,1,4,1,1,1,4,2,0,3,5,3,3,2,3,6
ssp_socio4_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00850737,28.9355,0.01834845,4.74691,4.611553554000002,0.01426668,4.5707900000000015,0.0230265999999999,0.001802459,0.001667815,1,1,5,1,1,1,4,2,0,3,5,3,3,2,3,6
ssp_socio4_ag1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00855865,27.8568,0.01750747,4.478190000000001,4.1617075859999995,0.01378229,4.12241,0.0221815999999999,0.001712852,0.001620844,2,2,1,1,1,1,4,2,0,3,5,3,3,0,3,6
