scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00867364,37.0174,0.01763304,4.4881,5.9466721819999995,0.00950991,5.90912,0.0217747,0.001868182,0.00439939,3,1,1,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00901868,37.4204,0.01719199,4.38649,5.703665998,0.01151506,5.67004,0.01743328,0.001398398,0.00327926,3,1,2,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00869817,37.0383,0.01757149,4.47495,5.943675536,0.00953493,5.905930000000001,0.02191841,0.001877866,0.0044143299999999,3,1,2,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00844593,35.7993,0.0164081999999999,4.1945700000000015,5.462126901,0.01106646,5.42986,0.01671785,0.001332241,0.00315035,3,1,3,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00848981,36.6022,0.01748677,4.46127,5.905374922999999,0.00948176,5.86786,0.02177884,0.0018680729999999,0.00438625,3,1,3,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00917085,38.04380000000001,0.01766531,4.47631,5.900158276000001,0.01163819,5.866099999999999,0.01763834,0.001425356,0.00335639,3,1,4,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0087361,37.2253,0.01775387,4.53074,6.022098317,0.00951713,5.98433,0.02193924,0.001878257,0.00443369,3,1,4,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0090464,37.8357,0.01754021,4.44868,5.845849236000002,0.01180286,5.8114300000000005,0.01780918,0.001440406,0.00336679,3,1,5,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0086322799999999,36.9579,0.01768366,4.48955,6.013375121000002,0.00963571,5.975300000000002,0.0220669,0.001902421,0.00447009,3,1,5,2,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00892182,36.8238,0.01688524,4.23125,5.6030651549999995,0.01143783,5.56987,0.01712842,0.001381025,0.00324788,1,2,1,1,1,1,3,4,0,3,0,6,1,4,3
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.00871922,36.8782,0.01752972,4.40759,5.850953853999999,0.00955399,5.8133,0.02180616,0.001881184,0.00441252,1,2,1,2,1,1,3,4,0,3,0,6,1,4,3
