scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.497336,14.37413,0.0589848,0.00847221,6.5186014000000005,1.1634449999999998,0.02427047,0.107726,5.09048,0.0931692,0.03951073,1,1,1,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.86476,14.07281,0.0618839,0.00766949,7.11430435,1.345918,0.02507255,0.1055482,5.5080100000000005,0.0985779,0.0311777,1,1,2,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.473305,14.34009,0.05885,0.00845866,6.5185533,1.168381,0.02440803,0.1075778,5.08544,0.0932417,0.03950477,1,1,2,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.93956,14.1613,0.0620004,0.00770456,7.15566102,1.354598,0.02518072,0.1057565,5.53977,0.0989171,0.0314387,1,1,3,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.514880000000001,14.38121,0.0588563999999999,0.0084866,6.539470780000001,1.170245,0.02446217,0.107614,5.104100000000002,0.0934332,0.03961641,1,1,3,2,2,3,3,1,1,1,6,0,2
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.99213,14.252720000000002,0.0629036999999999,0.00776542,7.17691806,1.355017,0.02506136,0.1082401,5.55744,0.0994597,0.0316999,1,1,4,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.555029,14.424780000000002,0.0592073,0.00850391,6.526103980000002,1.167827,0.0242185999999999,0.1088671,5.092370000000002,0.093139,0.03968228,1,1,4,2,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.97339,14.18535,0.0622052,0.00773237,7.18929497,1.361617,0.02546597,0.1066492999999999,5.56396,0.0999172,0.0316855,1,1,5,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.524336,14.34104,0.0583962,0.00845415,6.53463559,1.169771,0.0245154,0.1079854,5.09922,0.0934718,0.03967199,1,1,5,2,2,3,3,1,1,1,6,0,2
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.729419999999998,14.01555,0.0624380999999999,0.0076367999999999,7.14847461,1.352746,0.0254245,0.1032558,5.53622,0.0994743,0.03135401,2,2,1,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.347662000000001,14.28051,0.059125,0.00845985,6.539571390000001,1.170557,0.02473256,0.1044525,5.10629,0.0939917,0.03954763,2,2,1,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.7328,13.98796,0.0621778,0.00764124,7.14581872,1.3544269999999998,0.02544532,0.1031468,5.53214,0.0994443,0.0312153,2,2,2,1,2,3,3,1,1,7,6,0,2
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.348312,14.2432,0.0589106999999999,0.00844663,6.5461192299999995,1.170304,0.02481858,0.1042903,5.113169999999999,0.0939855,0.03955085,2,2,2,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.74965,14.06954,0.0622601999999999,0.00767502,7.197271260000001,1.36153,0.02563656,0.1034561,5.5753900000000005,0.0998321,0.0314264999999999,2,2,3,1,2,3,3,1,1,7,4,0,2
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.354005,14.2893,0.0587361999999999,0.00846954,6.556363879999999,1.175209,0.0248965,0.1044431,5.118119999999999,0.0940841,0.03961118,2,2,3,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.7941,14.166049999999998,0.0632235999999999,0.0077366999999999,7.2281317099999995,1.365206,0.02564371,0.1049127999999999,5.59999,0.1006791,0.0317000999999999,2,2,4,1,2,3,3,1,1,7,4,0,2
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.402767,14.33383,0.0591418,0.0084873999999999,6.55188955,1.172715,0.0247292,0.1055242,5.11526,0.0939911,0.03967005,2,2,4,2,2,3,3,1,6,1,6,0,2
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,4.78655,14.15081,0.0627201,0.00772125,7.24118135,1.368812,0.02587205,0.1048555,5.609,0.1009229,0.0317189,2,2,5,1,2,3,3,1,1,7,4,0,2
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,4.389025,14.27789,0.0584612,0.0084491499999999,6.55750704,1.174294,0.02490369,0.1053275,5.11914,0.0941565,0.03968535,2,2,5,2,2,3,3,1,6,1,6,0,2
