scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.50229,12.11723,5.03827,0.512941,31.375011999999998,2.299767,3.4451,13.22871,3.1502220000000003,5.29336,3.957853,2,2,1,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.8411,12.15486,5.0335800000000015,0.515406,31.574153,2.323118,3.485637,13.287720000000002,3.16848,5.324999999999998,3.984198,2,2,2,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.18665,12.05791,4.98617,0.511907,31.113042,2.303949,3.463948,12.96546,3.147902,5.28543,3.946353,2,2,3,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.58126,12.12924,5.04318,0.514181,31.544264000000002,2.30081,3.4176519999999995,13.42852,3.145076,5.28791,3.964296,2,2,4,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.69395,12.14509,4.9980400000000005,0.51513,31.524731000000003,2.327938,3.523925,13.15759,3.17996,5.33972,3.995598,2,2,5,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.54373,12.08721,5.06188,0.5152979999999999,31.564793,2.286745,3.405046,13.52164,3.130732,5.262029999999998,3.9586,2,1,1,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.855400000000003,12.12249,5.05359,0.5171560000000001,31.772743000000002,2.303305,3.4464550000000003,13.59735,3.15113,5.29301,3.981493,2,1,2,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.2055,11.96376,5.02467,0.513691,31.368673,2.273641,3.397985,13.41025,3.107533,5.23529,3.943974,2,1,3,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.67231,12.07514,5.0758100000000015,0.5152479999999999,31.648673000000002,2.2793400000000004,3.378329,13.65611,3.121201,5.2464,3.967293,2,1,4,2,2,2,3,6,6,2,5,1,2,6,4
ssp_ag2_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.622090000000004,12.04446,5.02321,0.51579,31.746377000000003,2.300722,3.476053,13.53502,3.138171,5.30307,3.993341000000001,2,1,5,2,2,2,3,6,6,2,5,1,2,6,4
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.5552,12.97803,4.83895,0.788938,29.200094,2.020786,1.774798,10.88122,4.39839,6.84087,3.28403,3,2,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.64931,12.99444,4.842230000000001,0.791022,29.320826999999998,2.0297270000000003,1.78948,10.91122,4.41466,6.876659999999998,3.2990800000000005,3,2,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.08976,12.78217,4.79272,0.7836930000000001,28.905452999999998,2.0110840000000003,1.7705490000000002,10.67727,4.37996,6.8083,3.25829,3,2,3,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.55738,12.95613,4.8424700000000005,0.7890550000000001,29.262195000000002,2.016253,1.760432,10.9906,4.385730000000001,6.824739999999999,3.28444,3,2,4,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.33836,12.89778,4.8264,0.788859,29.346702999999998,2.0322500000000003,1.817003,10.85609,4.42159,6.910139999999999,3.3096300000000003,3,2,5,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.60247,13.01095,4.89496,0.8055329999999999,29.345238,2.006518,1.75155,11.12493,4.37415,6.80475,3.28334,3,1,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.68712,13.04768,4.88354,0.804245,29.468892000000004,2.0166060000000003,1.7687560000000002,11.13386,4.41139,6.842130000000001,3.29615,3,1,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.07746,12.74104,4.84621,0.797396,29.017393000000002,1.982702,1.7386910000000002,10.95629,4.3285,6.76055,3.25066,3,1,3,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.55377,12.93873,4.892530000000001,0.8063060000000001,29.279194,1.98581,1.737414,11.15341,4.35455,6.771610000000001,3.2764,3,1,4,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.30541,12.81472,4.876119999999999,0.798725,29.447598000000003,2.007353,1.785235,11.11702,4.37172,6.863989999999999,3.30228,3,1,5,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.7284,13.02327,4.84657,0.789909,29.295839,2.025467,1.7750720000000002,10.9574,4.400440000000001,6.8462,3.2912600000000003,1,2,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.74656,13.03282,4.85051,0.7919069999999999,29.412826,2.031523,1.787913,10.99056,4.4202,6.8785500000000015,3.3040800000000004,1,2,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.25275,12.8218,4.79774,0.7846,28.993706000000003,2.01276,1.7703259999999998,10.74478,4.38736,6.8131900000000005,3.26529,1,2,3,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.78634,13.013560000000002,4.8506800000000005,0.790309,29.377469,2.015791,1.7590880000000002,11.0837,4.3951,6.829790000000001,3.294,1,2,4,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.58243,12.96529,4.83483,0.79025,29.497761,2.03873,1.816841,10.97392,4.43216,6.916779999999998,3.3193300000000003,1,2,5,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.8607,12.82185,4.9532,0.8024819999999999,29.316358,2.003969,1.7062389999999998,11.23621,4.312180000000001,6.769480000000001,3.2882800000000003,1,1,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.92349,12.832440000000002,4.9682,0.801596,29.466192,2.019212,1.69846,11.27532,4.35907,6.807869999999999,3.30626,1,1,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,14.86062,9.02246,4.80452,0.7172540000000001,23.102037,1.412212,1.599608,8.573739999999999,2.94092,5.8342,2.741357,1,1,3,2,1,1,3,7,0,0,6,3,1,3,4
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,17.303449999999998,11.05144,4.933590000000001,0.768844,26.601571,1.7291169999999998,1.625494,10.17044,3.68294,6.3340000000000005,3.0595799999999995,1,1,4,2,1,1,3,6,0,0,5,4,1,3,4
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,15.55631,9.31745,4.89877,0.725024,24.114505,1.501774,1.6007060000000002,9.04636,3.10644,6.00542,2.853805,1,1,5,2,1,1,3,7,0,0,6,3,1,3,4
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.57263,12.98923,4.84414,0.789119,29.224564,2.023371,1.774693,10.90267,4.39581,6.84208,3.28594,2,2,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.66576,13.01185,4.8486600000000015,0.791361,29.365804,2.0295560000000004,1.787948,10.95549,4.4165600000000005,6.87529,3.30096,2,2,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.11988,12.79326,4.79574,0.784014,28.932929,2.013095,1.770184,10.69716,4.3819300000000005,6.8101,3.26046,2,2,3,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.5723,12.96192,4.8448400000000005,0.789193,29.270468,2.0118620000000003,1.758946,11.00013,4.38938,6.8248700000000015,3.28528,2,2,4,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.37379,12.92593,4.83426,0.789471,29.417260999999996,2.037214,1.816507,10.91123,4.42476,6.914,3.31355,2,2,5,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.61633,13.01133,4.90187,0.8056319999999999,29.369362999999996,2.006485,1.7448580000000002,11.15672,4.370699999999999,6.803789999999999,3.28681,2,1,1,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.75176,12.92266,4.932580000000001,0.802897,29.490403,2.0289710000000003,1.7212919999999998,11.21072,4.39525,6.82752,3.3066500000000003,2,1,2,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.11726,12.74375,4.85711,0.797614,29.051298000000003,1.981019,1.735399,10.99812,4.32104,6.7604,3.25532,2,1,3,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.58841,12.95118,4.90616,0.807028,29.346576,1.9911,1.729456,11.2157,4.34848,6.77632,3.28552,2,1,4,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,18.31114,12.798369999999998,4.88659,0.7985760000000001,29.459567,2.006466,1.7716610000000002,11.14879,4.36627,6.8609100000000005,3.30547,2,1,5,2,1,1,3,6,0,0,5,4,2,6,4
ssp_socio3_ag4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.1287,14.12961,4.91241,0.4708699999999999,38.49066,3.11925,5.34539,17.429029999999997,3.0832900000000003,5.16982,4.34388,3,2,1,1,1,4,3,3,5,1,4,4,2,6,4
