scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.29226,61.0008,121.0257,60.9997,49.022402,1.05487,30.2196,13.4379,2.99086,1.319172,1,1,2,1,1,1,3,6,7,3,6,7,7
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.015806,66.6491,144.341,77.2838,62.73522200000001,1.13895,41.0024,15.401140000000002,3.5741499999999995,1.618582,1,1,2,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.27164,62.02119999999999,123.5712,62.9428,50.462114,1.063879,31.1089,13.92761,3.02613,1.335595,1,1,3,1,1,1,3,6,7,3,6,7,7
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.978695,67.28699999999999,143.7236,78.2086,63.007059999999996,1.132615,41.1033,15.55533,3.60015,1.615665,1,1,3,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.34627,62.1902,120.3603,61.366200000000006,49.353283999999995,1.059893,30.471,13.42659,3.04857,1.3472309999999998,1,1,4,1,1,1,3,6,7,3,6,7,7
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.049572,67.2106,144.1481,77.9921,63.087881,1.137404,41.3908,15.35829,3.57381,1.627577,1,1,4,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.22395,60.1199,116.9786,59.4672,48.218323000000005,1.0525209999999998,29.7247,13.12671,2.9947,1.319692,1,1,5,1,1,1,3,6,7,3,0,7,7
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.991346,65.9683,142.2091,76.34790000000002,62.531662999999995,1.138465,40.8895,15.29234,3.5860800000000004,1.625278,1,1,5,2,1,1,3,6,6,0,3,5,7
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.21538,59.289,137.7412,65.30250000000001,53.00985899999999,1.009277,32.9424,14.84461,2.9453400000000003,1.268232,2,2,1,1,1,1,3,6,4,0,6,7,7
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,2.952624,66.508,150.05169999999995,78.7365,63.588825,1.11972,41.303,15.98392,3.5897,1.592485,2,2,1,2,1,1,3,6,6,0,3,5,7
