scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio4_ag3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.73874e-06,0.441779,0.565509,0.6119359129999999,0.00411594,0.601007,0.00394309,0.001507207,0.0018786629999999,0.001362676,3,1,5,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.012261e-05,0.4525750000000001,0.5777650000000001,0.625554554,0.00421138,0.6143850000000001,0.00402496,0.001538598,0.00191604,0.001394616,1,2,1,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.002912e-05,0.4474189999999999,0.566893,0.6143996839999999,0.00415028,0.603378,0.00398616,0.00152104,0.001893549,0.001364204,1,2,2,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.84719e-06,0.439479,0.560968,0.6078603140000001,0.00407344,0.5970340000000001,0.00390477,0.001495637,0.0018707589999999,0.001352467,1,2,4,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.80347e-06,0.441658,0.566712,0.61313928,0.00411957,0.6022080000000001,0.00393604,0.0015101379999999,0.001884625,0.001365532,1,2,5,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.06269e-05,0.465658,0.531725,0.5979084489999998,0.00420346,0.5867709999999999,0.00410349,0.0015336879999999,0.001806071,0.001296811,1,1,1,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.018067e-05,0.454884,0.566209,0.6172726350000002,0.00418258,0.606175,0.00401678,0.001528359,0.001890581,0.001369916,1,1,2,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.0263269999999997e-05,0.462744,0.5842970000000001,0.6333582179999998,0.00427732,0.622015,0.004096,0.0015638879999999,0.001948877,0.00140601,1,1,3,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.9518e-06,0.4415229999999999,0.560972,0.609083093,0.00407198,0.59826,0.00390402,0.00149525,0.001867596,0.001351843,1,1,4,1,1,3,4,4,5
ssp_socio4_ag3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.003034e-05,0.446277,0.550092,0.6017401379999998,0.00406772,0.5909059999999999,0.00394685,0.001491056,0.0018436829999999,0.001328512,1,1,5,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.006462e-05,0.453189,0.577813,0.6247755850000001,0.00421515,0.6136010000000001,0.00402641,0.001539649,0.001919028,0.001393376,2,2,1,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.000653e-05,0.4473819999999999,0.567112,0.614407241,0.00415102,0.603383,0.00398714,0.00152141,0.00189514,0.001364671,2,2,2,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.011688e-05,0.460212,0.582561,0.6304715569999999,0.00427072,0.6191329999999999,0.0040998999999999,0.001561251,0.001942235,0.001406686,2,2,3,1,1,3,4,4,5
ssp_socio4_ag3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,9.76522e-06,0.438988,0.560894,0.6068389299999999,0.0040710999999999,0.596019,0.00390167,0.001495474,0.001871162,0.001351686,2,2,4,1,1,3,4,4,5
