scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.7958,60.1755,48.9445,11.24742,27.709395999999998,2.99986,17.86325,1.641212,0.74847,4.4566040000000005,3,1,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,65.79390000000001,70.8395,61.5173,13.92014,30.489252,4.11454,18.88819,1.649215,1.695214,4.142093,3,1,5,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,70.52000000000002,56.4145,44.082,10.12906,25.828126,2.72718,16.48188,1.6233689999999998,0.503736,4.491961,1,2,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,68.2964,72.7752,63.458,14.164079999999998,31.233487000000004,4.1919,19.44106,1.6722549999999998,1.735811,4.192461,1,2,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.8086,50.8429,37.8355,8.96828,23.636210499999997,2.25619,15.09438,1.6210939999999998,0.0819405,4.582606,1,2,3,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,70.99340000000002,60.0789,48.3031,11.01089,27.428532000000004,2.98699,17.570230000000002,1.644946,0.764872,4.461494,1,2,4,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,67.0559,70.6916,60.5759,13.72137,30.529875,4.10053,18.96251,1.645111,1.681254,4.14047,1,2,5,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,72.1689,55.9446,43.1125,10.03456,26.118221,2.57485,17.055979999999998,1.609931,0.386458,4.491002,1,1,1,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,69.6666,72.5987,62.5433,14.05901,31.52712,4.06848,19.97464,1.658077,1.629171,4.196752,1,1,2,2,1,2,3,5,5,2,4
ssp_socio3_ag2_gwlo_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,71.887,50.2111,36.5279,8.77947,24.139050002340625,2.081858,15.87836,1.596616,2.34062e-09,4.582216000000001,1,1,3,2,1,2,3,5,5,2,4
