scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.541763,6.48169,0.6735040000000001,0.2741548,28.051523800000002,2.400536,7.939611,16.399639999999998,0.526726,0.2893079,0.4957029,1,1,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.9321,6.30428,0.71514,0.2443828,28.060038,2.65553,8.29617,15.85137,0.563299,0.288298,0.405371,1,1,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.584762,6.53566,0.67545,0.2761907,28.196889000000002,2.438812,7.962064999999999,16.47351,0.531414,0.2924499,0.4986381,1,1,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.92112,6.173959999999999,0.715104,0.2407658,27.81766,2.479173,8.219619999999999,15.88925,0.550996,0.277392,0.401229,1,1,4,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.603384,6.50755,0.6767569999999999,0.2751397,28.1426439,2.384731,7.874299000000001,16.571920000000002,0.526442,0.2879215,0.4973304,1,1,4,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.93421,6.324949999999999,0.7125279999999999,0.2445546,28.233415,2.7147900000000003,8.29497,15.95748,0.566126,0.29314,0.406909,1,1,5,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.5831699999999995,6.512790000000002,0.668198,0.2745374,28.218830200000003,2.445955,7.947571000000001,16.50394,0.530522,0.2926353,0.4982069,1,1,5,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.81663,6.4839,0.730654,0.2492086,28.506649,2.93344,8.35378,15.91459,0.5828810000000001,0.308628,0.41333,2,2,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.469269,6.56548,0.682163,0.2775982,28.036644,2.516643,8.053208999999999,16.12869,0.537572,0.2997218,0.5008082,2,2,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.79394,6.42807,0.7228019999999998,0.2476945,28.308298999999998,2.91762,8.30472,15.79229,0.578361,0.3065,0.408808,2,2,2,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.4633730000000003,6.53624,0.6784180000000001,0.2766709,27.988954000000003,2.511485,8.066508,16.0746,0.5372870000000001,0.2991892,0.4998848,2,2,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.80127,6.45509,0.722593,0.248385,28.395749999999996,2.92818,8.35357,15.813949999999998,0.581937,0.307201,0.410912,2,2,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.46614,6.55421,0.6760470000000001,0.2772928,28.0364344,2.520795,8.087837,16.09055,0.537504,0.2993881,0.5003603,2,2,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.8066,6.448119999999999,0.727973,0.2484086,28.411540000000002,2.91292,8.29,15.91013,0.579924,0.307359,0.411207,2,2,4,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.500175,6.565060000000001,0.6797570000000001,0.2774558,28.101461,2.511727,8.021403999999999,16.23283,0.536446,0.298622,0.500432,2,2,4,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.79752,6.43599,0.7215849999999999,0.2477117,28.463420000000006,2.9182300000000003,8.35726,15.88849,0.580494,0.307846,0.4111,2,2,5,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.4824230000000003,6.5266,0.670578,0.2756574,28.077587100000002,2.510232,8.062816999999999,16.170460000000002,0.53586,0.2985140999999999,0.499704,2,2,5,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.7754,6.14955,0.721258,0.2408259,27.556758,2.475057,8.413910000000001,15.4345,0.553288,0.27838,0.401623,2,1,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.4727170000000003,6.51612,0.6804279999999999,0.2765601,27.9426248,2.434782,8.01285,16.17134,0.5317419999999999,0.2933171,0.4985937,2,1,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.80275,6.41281,0.722526,0.2477292,28.232722,2.84801,8.28787,15.81187,0.5756380000000001,0.3019679999999999,0.407366,2,1,2,1,2,3,3,3,5,3,1,2
