scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04021237,3.659704,1.329216,0.571099,14.349129500000002,2.712231,8.103791000000001,0.4315901,0.0497691,2.7824020000000003,0.2693463,2,1,3,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469513,3.94817,1.569806,0.5531159999999999,16.5840901,3.37524,9.21467,0.477192,0.0563958,3.2183400000000004,0.2422522999999999,2,1,4,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04046111,3.67326,1.345722,0.5724739999999999,14.256289499999998,2.701616,8.011965,0.4405273,0.0498447,2.782219,0.2701175,2,1,4,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0472171999999999,3.97905,1.575351,0.557769,16.903673,3.42669,9.42445,0.481841,0.0570605,3.26836,0.2452715,2,1,5,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04015647,3.65145,1.324096,0.570058,14.4445947,2.719571,8.171987999999999,0.4325949,0.0499075,2.800119,0.2704143,2,1,5,2,2,3,3,3,3,1,4,1
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.047425,4.02393,1.5985010000000002,0.561338,17.0904073,3.47382,9.53086,0.480621,0.0575023,3.30004,0.2475639999999999,3,2,1,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03944235,3.65239,1.344088,0.570439,14.4619119,2.7252470000000004,8.178595,0.4266869,0.0498116999999999,2.811716,0.2698552999999999,3,2,1,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475361999999999,4.01545,1.592576,0.561526,17.0958238,3.4633800000000003,9.54443,0.479352,0.0577336,3.30466,0.2462682,3,2,2,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03955853,3.641926,1.336463,0.569575,14.4733896,2.7182830000000004,8.199531,0.4258114,0.0499412,2.810116,0.269707,3,2,2,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0460636,3.92432,1.55396,0.54838,16.726645099999995,3.39056,9.34729,0.467025,0.0564617,3.22415,0.2411584,3,2,3,1,1,3,3,7,3,6,4,1
