scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag3_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.886529e-06,1.7808990000000002,0.623092,34.8371775,22.35463,5.611333,1.027079,4.94243,0.726943,0.1747625,3,1,1,2,1,3,3,5
ssp_socio3_ag3_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.897188e-06,1.772166,0.622278,34.8838601,22.35967,5.641291000000002,1.0267190000000002,4.95381,0.727534,0.1748361,3,1,2,2,1,3,3,5
ssp_socio3_ag3_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.873662e-06,1.7703779999999998,0.623055,34.87283,22.35673,5.636631,1.02589,4.95221,0.726498,0.174871,3,1,3,2,1,3,3,5
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.906258e-06,1.7857330000000002,0.625268,34.836476899999994,22.31652,5.613258999999999,1.034074,4.96978,0.7273940000000001,0.1754499,3,1,4,2,1,3,3,5
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.879392e-06,1.7643380000000002,0.620907,34.948496600000006,22.4125,5.651861,1.03,4.9505300000000005,0.728284,0.1753216,3,1,5,2,1,3,3,5
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.924383e-06,1.774214,0.621642,34.8747153,22.37444,5.6188460000000005,1.032451,4.94597,0.728182,0.1748263,1,2,1,2,1,3,3,5
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.917323e-06,1.7702719999999998,0.620976,34.9297348,22.40292,5.640617,1.032659,4.94986,0.728783,0.1748958,1,2,2,2,1,3,3,5
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8958620000000003e-06,1.762085,0.620606,34.914629000000005,22.38625,5.65512,1.022306,4.9487,0.7276600000000001,0.174593,1,2,3,2,1,3,3,5
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.949878e-06,1.783118,0.624273,34.9399706,22.42514,5.608447,1.046064,4.95603,0.728692,0.1755976,1,2,4,2,1,3,3,5
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.932467e-06,1.7543939999999998,0.62035,34.957121799999996,22.39203,5.666906,1.031097,4.962940000000001,0.728919,0.1752298,1,2,5,2,1,3,3,5
