scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag5_gwhi_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.272,63.7269,21.3608,3.4965300000000004,17.11977430481429,0.1339392999999999,8.73231,2.153395,4.81429e-09,6.10013,3,1,4,2,1,5,3,3,3
ssp_socio3_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7925,75.23259999999998,34.428200000000004,5.61805,22.241711004366877,1.841788,12.35518,2.230893,4.36688e-09,5.81385,3,1,5,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.2605,58.7971,16.976149999999997,2.5399700000000003,14.48806100730569,2.44064e-09,6.32734,2.099161,4.86505e-09,6.06156,1,2,1,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.143,78.358,35.2658,5.58419,21.94788500447386,1.924999,11.86075,2.266816,4.473859999999999e-09,5.89532,1,2,2,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.4254,52.6286,12.40172,1.887309,12.37653000762049,2.54155e-09,4.15583,2.08003,5.07894e-09,6.14067,1,2,3,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,104.6275,63.5148,20.919490000000003,3.17066,16.65835500483415,0.2406,8.17062,2.152095,4.8341499999999995e-09,6.09504,1,2,4,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,99.2801,75.4577,33.65,5.37588,21.41794600438787,1.891209,11.4811,2.230117,4.38787e-09,5.815519999999999,1,2,5,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,104.8727,56.843,16.81519,2.51116,15.377941007248381,2.43119e-09,7.247089999999999,2.062321,4.8171899999999996e-09,6.06853,1,1,1,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.6712,75.9574,35.8652,5.49667,22.72872100442356,1.792984,12.8004,2.230197,4.42356e-09,5.90514,1,1,2,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.2765,51.4944,11.08336,1.8047,13.385207007538629,2.51894e-09,5.228899999999999,2.029157,5.01969e-09,6.12715,1,1,3,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,106.5503,61.4112,20.8104,3.20067,17.243922007200887,2.41292e-09,9.01649,2.1177520000000003,4.78797e-09,6.10968,1,1,4,2,1,5,3,3,3
ssp_socio3_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.2305,72.56110000000002,34.182199999999995,5.217630000000001,22.482157004333352,1.730414,12.733350000000002,2.189273,4.3333500000000006e-09,5.82912,1,1,5,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.0568,59.1384,17.65885,2.62918,14.475274007308599,2.44135e-09,6.29779,2.109144,4.86725e-09,6.06834,2,2,1,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.4656,78.4728,35.7254,5.65475,21.94178300447749,1.960943,11.81179,2.27228,4.477489999999999e-09,5.89677,2,2,2,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.5991,52.8905,12.84844,1.952217,12.36861300762763,2.54322e-09,4.13655,2.088673,5.084409999999999e-09,6.14339,2,2,3,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.1664,63.9075,21.7243,3.30662,16.703741004846,0.347655,8.089260000000001,2.168706,4.846e-09,6.09812,2,2,4,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.8998,75.7612,34.4892,5.505509999999999,21.44948100439743,1.980296,11.40901,2.241035,4.397429999999999e-09,5.81914,2,2,5,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,102.3301,58.7023,17.207710000000002,2.73213,15.225091007272951,2.43338e-09,7.068510000000001,2.089951,4.83957e-09,6.06663,2,1,1,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,101.6971,78.14789999999998,35.44889999999999,5.72125,22.51616600443706,1.83881,12.52251,2.257066,4.43706e-09,5.897780000000001,2,1,2,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,100.8042,52.4332,12.23107,1.992544,13.41452800756436,2.526e-09,5.217569999999999,2.060738,5.038359999999999e-09,6.13622,2,1,3,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,103.4752,63.6308,21.26781,3.4675800000000003,17.139511204814447,0.0971052,8.78788,2.150056,4.8144500000000005e-09,6.104469999999999,2,1,4,2,1,5,3,3,3
ssp_socio3_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.0536,75.0927,34.3228,5.5715400000000015,22.31093500436507,1.821666,12.44029,2.2274190000000003,4.3650700000000005e-09,5.82156,2,1,5,2,1,5,3,3,3
