Scenario,Input_Amplitude,Input_lambda,Cotton_Demand,Rice_Demand,Wheat_Demand,Sugarcane_Demand,Miscellaneous_Demand,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months
48,0.9099248838760823,0.06409484960732306,24.21306644653486,28.59519814916886,21.98631205782689,108.9112090466462,12.277447969429964,1.651593644327112,11.06384719750145,-0.16487374639825347,11.228720943899704,1.2924979660989326,1,Jul-Aug-Sep,Feb-Mar-Apr
49,1.2542163828351125,0.17551537216965088,15.362558938597191,63.16778320509018,46.09153069679647,150.91923274994767,17.799701408606975,1.8669014838867979,15.24270287549912,-3.104074799020207,18.346777674519327,0.9381538246071565,2,Jul-Aug-Sep,Feb-Mar-Apr
50,1.6527948576613256,0.7738308469388382,32.74690542140106,40.596432654651586,58.53439781176943,111.93261457934341,13.241048275786808,1.2749977093914309,27.967017568170597,13.750936094074902,14.216081474095697,0.5113165880181268,2,May-Jun-Jul,Oct-Nov-Dec
51,1.0836949277284063,0.881917943000388,27.356780325215027,50.47085259931013,73.51332565128507,60.63714442007534,21.692759489453856,1.6939421161846218,22.4316250251281,6.135115211163889,16.29650981396421,0.6374928247053443,2,May-Jun-Jul,Sep-Oct-Nov
52,0.7489203614126392,0.6307467270533682,72.6180530680468,19.077773348117738,93.71485429864659,156.17547088339967,28.999424870749564,3.6831416322358645,14.44282664229372,-14.277355708318204,28.720182350611925,0.9901108940908095,2,Jun-Jul-Aug,Mar-Apr-May
53,1.4442360448541622,0.2357311744891715,25.551147370088167,28.987045474597142,22.487735895540055,17.378717796624052,21.53773353999749,0.6506348310037808,16.863918450656705,14.56769929889211,2.2962191517645962,0.847964252308344,2,Jul-Aug-Sep,Dec-Jan-Feb
54,1.3093753819359057,0.7801443162999837,46.605073696393575,72.21483560041351,9.423647698494376,35.19634457812997,10.17060486195724,1.0645199698352312,38.27002240808272,19.932054380127063,18.337968027955654,0.3736606121500417,0,May-Jun-Jul,Sep-Oct-Nov
55,1.606002125180793,0.09418797994577109,45.358788287896644,56.656368481286016,19.44165026887969,111.71127842632882,26.806819912156833,1.3235851326652028,17.192393602762166,3.609395958951314,13.582997643810854,0.8317631814631403,2,Jul-Aug-Sep,Nov-Dec-Jan
56,0.5172872781916681,0.006153437560746345,61.87997541230024,84.14106535831458,91.00095479640537,65.87101637216216,32.64667472064347,4.493616686672958,9.824796299230531,-16.939261513966922,26.764057813197454,1.4555009146723952,1,May-Jun-Jul,Mar-Apr-May
57,1.7555708485779626,0.9989117365856666,73.7622331905092,51.20346038422289,5.4732723264130945,63.20994240092081,40.52297219997804,1.09911409966842,56.22284841830293,28.82582400492001,27.397024413382926,0.254344993224227,0,May-Jun-Jul,Sep-Oct-Nov
