Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
541,1.7343331714296102,18.035944444444443,1.1230266666666644,16.91291777777778,0.7928611692084019,2,May-Jun-Jul,Oct-Nov-Dec,0.9340349836844433,0.03188999907113363
542,1.3304156295781862,18.58061111111111,4.750693333333334,13.829917777777775,0.7696194659307343,2,May-Jun-Jul,Oct-Nov-Dec,1.2636034897717372,0.07175965864832415
543,1.3289671970103605,29.30061111111111,11.147693333333335,18.152917777777777,0.4880444283490485,2,May-Jun-Jul,Oct-Nov-Dec,1.2651479369527165,0.42784706174513626
544,1.026007595941273,36.51761111111111,19.636693333333334,16.880917777777775,0.3915918803256268,0,May-Jun-Jul,Oct-Nov-Dec,1.6834368345241881,0.5303036938080686
545,1.2018143040149836,21.860277777777767,8.220693333333328,13.639584444444441,0.6541545421045278,2,May-Jun-Jul,Oct-Nov-Dec,1.415033921077077,0.1737998149357473
546,2.8977026247436393,30.68842222222222,1.8167822222222236,28.871639999999996,0.4659737765744447,2,Apr-May-Jun,Aug-Sep-Oct,0.498233775646689,0.6729216274543472
547,2.449068699725649,28.594699999999996,2.5803600000000007,26.014339999999997,0.5000926745166063,2,May-Jun-Jul,Sep-Oct-Nov,0.6172431131763283,0.5188311280406703
548,1.9933397639410002,19.154277777777775,0.37502666666666684,18.77925111111111,0.7465695217488407,2,May-Jun-Jul,Oct-Nov-Dec,0.7929903301251884,0.07632382550175214
549,1.538584334347538,46.35170000000001,16.743360000000003,29.608340000000002,0.30851079895667255,0,May-Jun-Jul,Sep-Oct-Nov,1.0721222947791613,0.9798224552224664
550,1.9143517792471614,25.657366666666668,4.048693333333334,21.608673333333336,0.5573448041563112,2,May-Jun-Jul,Sep-Oct-Nov,0.8319326465469798,0.35667803572822804
551,1.322829712459661,22.009944444444436,6.873359999999995,15.136584444444441,0.6497063196181527,2,May-Jun-Jul,Oct-Nov-Dec,1.2717048409281566,0.18533345393808862
552,2.1259470471731357,25.115699999999997,2.512693333333333,22.603006666666666,0.5693649788777538,2,May-Jun-Jul,Sep-Oct-Nov,0.7340843780099829,0.33548281606721175
553,3.0253442382953213,34.794755555555554,3.3574488888888903,31.43730666666666,0.4109814761356118,0,Apr-May-Jun,Aug-Sep-Oct,0.4708198727665403,0.9428054892197351
554,1.577222717186028,18.43961111111111,2.447026666666666,15.992584444444443,0.7755044243521647,2,May-Jun-Jul,Oct-Nov-Dec,1.0421677301209722,0.0568179323572876
555,1.8883871362323223,22.609033333333336,2.8216933333333305,19.787340000000007,0.6324905531859684,2,May-Jun-Jul,Sep-Oct-Nov,0.8454724124081107,0.23905979035220137
556,0.9765900462624878,37.141944444444434,20.939026666666663,16.202917777777774,0.38500946070256015,0,May-Jun-Jul,Oct-Nov-Dec,1.776293100232072,0.5233720908867089
557,1.3858812284815074,36.74236666666667,14.086693333333335,22.655673333333333,0.38919648616356595,0,May-Jun-Jul,Sep-Oct-Nov,1.2069524085526753,0.648867877136035
558,1.0983026234845596,51.756699999999995,25.681693333333328,26.075006666666667,0.27629273118262954,0,May-Jun-Jul,Sep-Oct-Nov,1.5626682960433647,0.8900890527427552
559,1.0265694521316853,38.274944444444436,20.672693333333328,17.60225111111111,0.3736125605814074,0,May-Jun-Jul,Oct-Nov-Dec,1.6824447604427213,0.5744252652489242
560,1.2503166916383401,30.232277777777774,12.595359999999998,17.636917777777775,0.4730043864081988,2,May-Jun-Jul,Oct-Nov-Dec,1.3542486925171442,0.4361602587693536
561,2.086357638005597,20.359366666666666,0.5413599999999992,19.81800666666667,0.7023794125881454,2,May-Jun-Jul,Sep-Oct-Nov,0.7508856556628687,0.12945912718184602
562,0.9842169163800145,20.05883333333333,9.717359999999994,10.341473333333335,0.7129028773690729,2,May-Jun-Jul,Nov-Dec-Jan,1.7613522062373168,0.08316545973758875
563,1.4035673841455831,46.20136666666666,18.221359999999997,27.980006666666664,0.309514653606928,0,May-Jun-Jul,Sep-Oct-Nov,1.189859848885769,0.9119675654845215
564,1.1495233444074822,22.93827777777777,9.57669333333333,13.361584444444441,0.6234121034951284,2,May-Jun-Jul,Oct-Nov-Dec,1.4862800086158896,0.20146650808076108
565,1.0087979143463641,18.037222222222212,7.846082222222215,10.191139999999999,0.7928050020020333,2,Jun-Jul-Aug,Nov-Dec-Jan,1.7147659020725265,0.015096261176062326
566,1.2474195786912052,40.38870000000001,17.749360000000003,22.639340000000004,0.354059427513141,0,May-Jun-Jul,Sep-Oct-Nov,1.35774186617956,0.7014261313740505
567,1.243040118029728,18.29161111111111,5.575693333333334,12.715917777777776,0.7817791397999692,2,May-Jun-Jul,Oct-Nov-Dec,1.363058047636354,0.06602773527344598
568,2.4129017429258997,29.802366666666664,3.288359999999999,26.514006666666667,0.47982766469329624,2,May-Jun-Jul,Sep-Oct-Nov,0.6287601580947492,0.5779646778634581
569,1.1703939894286546,23.729611111111105,9.755026666666664,13.97458444444444,0.6026226023276124,2,May-Jun-Jul,Oct-Nov-Dec,1.4570789741385541,0.2260210871363561
570,1.5201920751618605,26.253277777777768,7.547359999999999,18.70591777777777,0.5446938900751019,2,May-Jun-Jul,Oct-Nov-Dec,1.086948614539265,0.3612799229473529
571,1.0176924165663312,27.765277777777776,14.576693333333333,13.188584444444444,0.5150317642939324,2,May-Jun-Jul,Oct-Nov-Dec,1.6984492577339192,0.3101147775599298
572,1.3617557477675675,39.5567,15.700026666666664,23.856673333333333,0.361506394618358,0,May-Jun-Jul,Sep-Oct-Nov,1.2310316899031961,0.7171151984963766
573,2.788260385707418,32.44075555555555,2.9534488888888886,29.48730666666666,0.44080354341658035,0,Apr-May-Jun,Aug-Sep-Oct,0.523725092707369,0.7669900206974375
574,1.7879755696275834,43.00503333333334,12.957693333333333,30.047340000000002,0.33251921674284635,0,May-Jun-Jul,Sep-Oct-Nov,0.9014589910865297,0.9810486024486847
575,1.5281029654084208,44.59436666666666,16.04369333333333,28.550673333333332,0.3206683056380067,0,May-Jun-Jul,Sep-Oct-Nov,1.0805233637102616,0.9219105787906917
576,1.1777536944044305,27.77161111111111,12.060359999999998,15.711251111111112,0.514914310977037,2,May-Jun-Jul,Oct-Nov-Dec,1.4470152979911013,0.34415073480993463
577,1.8371797631485458,37.271033333333335,9.944360000000001,27.326673333333336,0.38367597356660355,0,May-Jun-Jul,Sep-Oct-Nov,0.873265270107539,0.7882996245311162
578,1.121385500019762,39.47436666666667,19.557026666666665,19.917340000000003,0.36226040358680023,0,May-Jun-Jul,Sep-Oct-Nov,1.5273658453286216,0.641331834454624
579,2.1139814697347727,31.066033333333337,5.321026666666668,25.74500666666667,0.4603098131828867,2,May-Jun-Jul,Sep-Oct-Nov,0.7390929217741933,0.5973881352938174
580,2.2466756409131476,28.8447,3.605693333333331,25.23900666666667,0.4957583195526388,2,May-Jun-Jul,Sep-Oct-Nov,0.6864857923964393,0.5121963617263199
581,2.293401319080794,18.65503333333333,-1.3149733333333335,19.970006666666663,0.7665491529542521,2,May-Jun-Jul,Sep-Oct-Nov,0.6694157321989623,0.02154942099791719
582,1.1471931268188043,45.18036666666667,21.690693333333336,23.489673333333336,0.3165091621655719,0,May-Jun-Jul,Sep-Oct-Nov,1.4896099548046766,0.7736697974106961
583,0.9956376590021891,22.0815,11.26669333333333,10.814806666666668,0.6476009329076376,2,May-Jun-Jul,Nov-Dec-Jan,1.7394100148138876,0.15455393660893782
584,1.1127146382206545,48.664366666666666,23.96469333333333,24.699673333333337,0.2938495038464147,0,May-Jun-Jul,Sep-Oct-Nov,1.5404444074575911,0.8327896338158676
585,1.819333885598023,17.61694444444444,0.365359999999999,17.25158444444444,0.8117185159489761,2,May-Jun-Jul,Oct-Nov-Dec,0.8833233918539891,0.007168836119537302
586,2.3631215699692514,25.03103333333333,1.3053599999999967,23.725673333333333,0.5712908376402094,2,May-Jun-Jul,Sep-Oct-Nov,0.645203667756529,0.3312512069950322
587,2.7252507736080247,26.82766666666666,0.7020266666666632,26.125639999999997,0.5330318203844292,2,May-Jun-Jul,Aug-Sep-Oct,0.5393411003205287,0.43348318776432304
588,1.128855711763327,30.359611111111114,14.295026666666667,16.064584444444446,0.4710205261742117,2,May-Jun-Jul,Oct-Nov-Dec,1.5162598576205721,0.40540946733994093
589,1.4767490342928042,16.833611111111104,2.3053599999999967,14.528251111111109,0.8494909324928636,2,May-Jun-Jul,Oct-Nov-Dec,1.12338421201913,0.0009861125546852265
590,1.3463002623891,50.012366666666665,20.727693333333328,29.284673333333334,0.2859292801580409,0,May-Jun-Jul,Sep-Oct-Nov,1.2468970478803063,0.9850179765146352
591,2.0979907190164235,20.289366666666666,0.4433599999999984,19.846006666666668,0.7048026798930803,2,May-Jun-Jul,Sep-Oct-Nov,0.745868753212033,0.12500949597665448
592,1.988789303082487,33.8497,7.340693333333331,26.509006666666668,0.42245573816016097,0,May-Jun-Jul,Sep-Oct-Nov,0.7951395797675882,0.6928147611229017
593,2.304502368627865,20.555366666666664,-0.49097333333333726,21.04634,0.6956820684298182,2,May-Jun-Jul,Sep-Oct-Nov,0.6654723597756272,0.11258893720204656
594,1.8719379175931659,33.12003333333334,7.781026666666666,25.33900666666667,0.4317628504802229,0,May-Jun-Jul,Sep-Oct-Nov,0.8542274968178001,0.6403206020876788
595,1.2335750452695788,28.260611111111103,11.62669333333333,16.633917777777775,0.5060046275636881,2,May-Jun-Jul,Oct-Nov-Dec,1.3746947458802126,0.3711483159703754
596,2.0924916233632924,33.119033333333334,6.3873599999999975,26.731673333333337,0.4317758871786717,0,May-Jun-Jul,Sep-Oct-Nov,0.7482335869637112,0.6834468974524239
597,3.016824052095248,35.51308888888889,3.7114488888888912,31.801639999999995,0.4026684371145788,0,Apr-May-Jun,Aug-Sep-Oct,0.4725812548555326,0.9869988151010862
598,1.029635347346389,39.896277777777776,21.58302666666667,18.313251111111107,0.35842942741804096,0,May-Jun-Jul,Oct-Nov-Dec,1.676978422010194,0.6165425344219645
599,2.102823559575985,31.842033333333333,5.7406933333333345,26.10134,0.4490919235685326,2,May-Jun-Jul,Sep-Oct-Nov,0.743810714821898,0.6296648777615378
600,1.8326735542528343,26.9567,5.223693333333333,21.733006666666668,0.5304803629524385,2,May-Jun-Jul,Sep-Oct-Nov,0.8757988674896419,0.4038974095304211
601,1.859404905921716,18.113611111111105,0.4373599999999982,17.676251111111107,0.7894615773896244,2,May-Jun-Jul,Oct-Nov-Dec,0.8610204873039948,0.028615263738071203
602,1.6361197132940484,28.06803333333334,7.358026666666667,20.710006666666672,0.5094763794162042,2,May-Jun-Jul,Sep-Oct-Nov,0.9992016952301785,0.43161481369749033
603,0.9957604305587437,26.655277777777776,14.324359999999997,12.330917777777778,0.5364791212913849,2,May-Jun-Jul,Oct-Nov-Dec,1.739187369298101,0.2787320093588777
604,1.338489980976861,32.89836666666667,12.947360000000002,19.951006666666665,0.43467203538980154,0,May-Jun-Jul,Sep-Oct-Nov,1.2550611544701444,0.5372231085392467
605,1.6465383571763548,23.95794444444444,5.228693333333329,18.72925111111111,0.5968792536922339,2,May-Jun-Jul,Oct-Nov-Dec,0.9919251544870721,0.2876387703733303
606,1.3910506934791624,46.267700000000005,18.410360000000004,27.85734,0.30907090691778494,0,May-Jun-Jul,Sep-Oct-Nov,1.2019187271842657,0.9079670829473804
607,2.902750426513813,30.82475555555555,1.8651155555555556,28.959639999999997,0.46391284350096684,2,Apr-May-Jun,Aug-Sep-Oct,0.4970917781323237,0.6814419682827664
608,1.5017185984567802,17.002611111111115,2.19336,14.809251111111113,0.8410472901221053,2,May-Jun-Jul,Oct-Nov-Dec,1.10219738977733,0.005238264806264679
609,1.7001502911891795,39.48003333333333,12.048026666666663,27.432006666666666,0.3622084074565962,0,May-Jun-Jul,Sep-Oct-Nov,0.9558512431967138,0.8243495702963721
610,1.0223206877612312,44.93503333333334,24.212360000000004,20.722673333333333,0.3182372180281013,0,May-Jun-Jul,Sep-Oct-Nov,1.6900519689230338,0.7169852553708385
611,1.4256882029720048,26.868611111111107,8.736693333333333,18.131917777777776,0.532219545731802,2,May-Jun-Jul,Oct-Nov-Dec,1.1690448155193742,0.3661017636364675
612,1.132289260067002,42.93203333333333,20.938359999999996,21.993673333333334,0.3330846197982703,0,May-Jun-Jul,Sep-Oct-Nov,1.5112084350336632,0.7190221695658471
613,1.1489760559850186,18.94761111111111,7.2090266666666665,11.738584444444445,0.7547125553793061,2,May-Jun-Jul,Oct-Nov-Dec,1.487079696718511,0.0886816892132308
614,1.5658130519671325,26.74303333333333,7.426359999999997,19.316673333333334,0.5347186993248086,2,May-Jun-Jul,Sep-Oct-Nov,1.0508741402707125,0.3858829119512143
615,1.0961981406820562,22.95327777777777,10.38436,12.568917777777774,0.6230047027899672,2,May-Jun-Jul,Oct-Nov-Dec,1.5659606715546042,0.19748872301948375
616,1.5795483988426346,20.94227777777777,3.9193599999999975,17.022917777777774,0.6828292581991243,2,May-Jun-Jul,Oct-Nov-Dec,1.0404337135423032,0.15778398732601337
617,1.1532613113796004,51.92603333333332,24.686359999999993,27.239673333333332,0.27539172707845333,0,May-Jun-Jul,Sep-Oct-Nov,1.4809908156639475,0.9243921422278578
618,1.2260474307377156,16.40794444444444,4.664693333333332,11.743251111111107,0.8715290357313364,2,May-Jun-Jul,Oct-Nov-Dec,1.3840488062481149,0.009597216515599609
619,1.4208833449733902,20.88294444444444,5.218026666666663,15.664917777777775,0.6847693359546468,2,May-Jun-Jul,Oct-Nov-Dec,1.1735185354528075,0.15085550601900527
620,1.5538884645671622,19.62327777777778,3.331693333333334,16.291584444444446,0.728726370891713,2,May-Jun-Jul,Oct-Nov-Dec,1.0600913367919333,0.10473886774749054
621,1.4026484668634334,31.454700000000003,11.436359999999999,20.018340000000002,0.45462204376452486,2,May-Jun-Jul,Sep-Oct-Nov,1.1907358578444087,0.508671574168119
622,1.367672390769347,18.66194444444444,4.412693333333332,14.249251111111109,0.7662652754417042,2,May-Jun-Jul,Oct-Nov-Dec,1.2250562087561312,0.07318745958365205
623,1.070586687579609,19.56383333333333,8.49236,11.071473333333332,0.7309405961680994,2,May-Jun-Jul,Nov-Dec-Jan,1.607037145868602,0.09421104609667966
624,1.7827530576132107,40.564366666666665,11.873359999999996,28.691006666666667,0.3525261497981398,0,May-Jun-Jul,Sep-Oct-Nov,0.9045648261959819,0.891043293960678
625,2.72073044307603,23.174699999999998,-0.9266400000000017,24.10134,0.6170522164256712,2,May-Jun-Jul,Sep-Oct-Nov,0.5404814645305359,0.2186547631394133
626,1.3685103564971066,39.85103333333334,15.74602666666667,24.105006666666668,0.3588363664346637,0,May-Jun-Jul,Sep-Oct-Nov,1.2241963150684017,0.7270648475978148
627,2.753413347041976,19.667366666666663,-2.6509733333333356,22.31834,0.7270927644948233,2,May-Jun-Jul,Sep-Oct-Nov,0.5322623268391437,0.002512600857182656
628,1.718856877140818,38.05703333333334,11.233693333333333,26.82334,0.37575183211863594,0,May-Jun-Jul,Sep-Oct-Nov,0.9438108832088723,0.781535882951104
629,1.131636255447771,21.92261111111111,9.231693333333334,12.690917777777777,0.6522945614244046,2,May-Jun-Jul,Oct-Nov-Dec,1.5121774248486917,0.17177272068879654
630,1.4067836721238545,29.061277777777775,10.219693333333334,18.841584444444443,0.4920637044712036,2,May-Jun-Jul,Oct-Nov-Dec,1.186800389976161,0.4399799179577955
631,2.659927838081628,32.539333333333325,3.4720266666666646,29.06730666666666,0.43946813087750225,0,May-Jun-Jul,Aug-Sep-Oct,0.5563092152516906,0.7536681620470854
632,1.5498966527295495,22.109277777777773,4.842693333333333,17.26658444444444,0.6467872964341266,2,May-Jun-Jul,Oct-Nov-Dec,1.0631941839485484,0.2030130251755089
633,1.3165174730811964,31.247611111111105,12.441026666666664,18.80658444444444,0.4576349836520837,2,May-Jun-Jul,Oct-Nov-Dec,1.2785342944331812,0.48853890960415747
634,1.2937143617683342,31.814944444444443,13.031360000000001,18.783584444444443,0.4494743036553402,2,May-Jun-Jul,Oct-Nov-Dec,1.3037514841659026,0.4996010174089618
635,2.9781400178157034,21.756333333333323,-2.3959733333333357,24.15230666666666,0.6572798725275402,2,May-Jun-Jul,Aug-Sep-Oct,0.48067325679356226,0.10380057330029051
636,1.44333943324447,19.55061111111111,4.218359999999999,15.332251111111109,0.7314349366743297,2,May-Jun-Jul,Oct-Nov-Dec,1.1528873381198643,0.10293317071883758
637,1.5424840173792178,46.407700000000006,16.728693333333332,29.67900666666667,0.3081385201162738,0,May-Jun-Jul,Sep-Oct-Nov,1.069063533986292,0.9833618246787965
638,1.2243958138216668,24.44261111111111,9.468359999999999,14.97425111111111,0.5850438782908719,2,May-Jun-Jul,Oct-Nov-Dec,1.3861445627122624,0.25330487345377956
639,2.823507072293661,30.73833333333333,2.076360000000001,28.66197333333333,0.4652171555603753,2,May-Jun-Jul,Aug-Sep-Oct,0.5153161093606529,0.6696072351461553
640,1.222122311371055,23.649611111111106,9.025026666666667,14.62458444444444,0.6046611055384986,2,May-Jun-Jul,Oct-Nov-Dec,1.388997627422776,0.22902585622800462
641,1.097034379627414,36.349944444444446,18.346026666666667,18.003917777777776,0.3933981253219094,0,May-Jun-Jul,Oct-Nov-Dec,1.564661234563918,0.5572914827178845
642,1.7225798617720223,20.37394444444444,2.5890266666666655,17.784917777777775,0.701876852515877,2,May-Jun-Jul,Oct-Nov-Dec,0.9414384756559739,0.13689735330501107
643,2.353954543823772,22.710033333333328,0.2763599999999986,22.43367333333333,0.6296776314727266,2,May-Jun-Jul,Sep-Oct-Nov,0.6482950480267908,0.21479987155977204
644,2.7178424783434907,27.964666666666663,1.2313599999999987,26.733306666666664,0.5113595727942405,2,May-Jun-Jul,Aug-Sep-Oct,0.5412177272837693,0.4989645804711108
645,0.9927612173894953,51.064033333333334,27.75769333333333,23.306340000000006,0.2800405503939172,0,May-Jun-Jul,Sep-Oct-Nov,1.7449032116221361,0.819255585511519
646,1.2395030125994309,38.793699999999994,17.14102666666666,21.652673333333333,0.368616553718774,0,May-Jun-Jul,Sep-Oct-Nov,1.3674108447500009,0.6608923183377854
647,2.1571378668387244,31.5967,5.331359999999998,26.265340000000002,0.4525789085569063,2,May-Jun-Jul,Sep-Oct-Nov,0.7212701564617117,0.627784177337505
648,1.3425125134598022,41.25470000000001,16.743360000000003,24.511340000000004,0.3466271721767459,0,May-Jun-Jul,Sep-Oct-Nov,1.2508670298938451,0.7552071476435961
649,1.9980061589058618,37.65203333333333,9.03569333333333,28.61634,0.37979356581893325,0,May-Jun-Jul,Sep-Oct-Nov,0.7907614388318007,0.851199987166046
650,1.9211658153881628,21.434033333333332,2.056359999999998,19.377673333333334,0.6671632808259762,2,May-Jun-Jul,Sep-Oct-Nov,0.8284696599106776,0.1909528817024526
651,1.1156532190957562,23.78527777777778,10.57936,13.205917777777778,0.6012122344587572,2,May-Jun-Jul,Oct-Nov-Dec,1.5360163918239382,0.22185006146881212
652,1.5245301322397102,36.454699999999995,12.330359999999994,24.12434,0.3922676637031714,0,May-Jun-Jul,Sep-Oct-Nov,1.0834312290355967,0.6759491942207724
653,0.9754557458026041,56.7597,30.825026666666666,25.934673333333336,0.25193931609927467,0,May-Jun-Jul,Sep-Oct-Nov,1.778544499162648,0.9142755385028215
654,2.515710543910394,31.99333333333333,3.825026666666666,28.168306666666663,0.44696811835799133,2,May-Jun-Jul,Aug-Sep-Oct,0.5968771547987123,0.7039203679445104
655,1.5322850391103364,27.206033333333338,7.985359999999998,19.220673333333337,0.5256187046745758,2,May-Jun-Jul,Sep-Oct-Nov,1.077162379546606,0.39863296110998736
656,1.1933169872789504,48.45803333333333,22.367693333333328,26.090340000000005,0.2951007091359465,0,May-Jun-Jul,Sep-Oct-Nov,1.4261705259071893,0.8679307098757828
657,2.572865745313377,25.176033333333333,0.5183599999999977,24.657673333333335,0.5680005190121293,2,May-Jun-Jul,Sep-Oct-Nov,0.5802365523108246,0.3388601200504661
658,1.0075344214339048,21.247166666666665,10.461026666666664,10.78614,0.6730309139257784,2,May-Jun-Jul,Nov-Dec-Jan,1.7170793219076854,0.13113793520033012
659,1.9836034412064256,35.313700000000004,8.048026666666667,27.265673333333336,0.40494199135179826,0,May-Jun-Jul,Sep-Oct-Nov,0.7976372536030711,0.7514166053910436
660,1.3990500534411574,22.57961111111111,6.435359999999999,16.14425111111111,0.633314716078665,2,May-Jun-Jul,Oct-Nov-Dec,1.194200424355769,0.20991975407555324
661,2.311352127312919,32.78536666666666,5.11369333333333,27.671673333333334,0.43617020194985373,0,May-Jun-Jul,Sep-Oct-Nov,0.6630340777387348,0.7117600735550188
662,2.8350591971654495,24.75266666666666,-0.6059733333333339,25.358639999999994,0.5777155323332168,2,May-Jun-Jul,Aug-Sep-Oct,0.5125823843655936,0.30696402283051744
663,2.1852927217166127,24.173366666666666,1.7620266666666655,22.411340000000003,0.591560132983821,2,May-Jun-Jul,Sep-Oct-Nov,0.7100158244706449,0.2923267453623407
