scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.22412,19.30522,0.684708,16.28334,12.826008,1.817526,6.80898,2.99736,0.8239110000000001,0.378231,2,1,1,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50903,21.48784,2.152351,20.22312,15.312988,1.770613,8.27609,3.49751,1.206071,0.562704,2,1,1,2,1,1,3,5,5,5,2,1,1,1
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.52596,21.12349,5.50531,19.6653,16.801137999999998,2.0379560000000003,9.38015,3.97534,0.8817520000000001,0.52594,2,1,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.70868,22.37381,8.194360000000001,22.59024,19.064556000000003,1.934416,10.81934,4.3639600000000005,1.235094,0.711746,2,1,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.22486,19.66548,1.237362,17.0547,13.595649,1.868296,7.2826,3.19854,0.8395819999999999,0.406631,2,1,3,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.55201,21.94903,5.29507,21.59939,17.456306,1.856171,9.72456,4.0047,1.224484,0.6463909999999999,2,1,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5349000000000004,21.69314,5.49831,21.35593,17.522085,1.852546,9.78699,4.0101,1.221224,0.6512249999999999,2,1,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.676225,20.8423,5.54452,16.76931,15.383027,1.5980120000000002,8.555589999999999,3.44348,1.046797,0.7391479999999999,3,2,1,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.730269,21.02035,6.298030000000002,17.040429999999997,15.799892000000003,1.62573,8.820260000000001,3.53629,1.055237,0.762375,3,2,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.655147,20.902420000000003,6.20383,16.97255,15.65923,1.6217629999999998,8.70701,3.5196300000000003,1.053548,0.757279,3,2,3,2,1,2,3,5,7,4,2,1,4,1
