scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag5_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12018,21.52019,2.30095,19.07091,15.877823000000001,1.81437,8.63941,3.6909,1.121606,0.611537,1,1,1,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.25678,22.24746,6.537940000000001,20.82034,18.640662,1.938035,10.49795,4.336,1.144188,0.7244889999999999,1,1,2,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.15319,22.02516,5.19005,20.342370000000003,17.79627,1.882775,9.92343,4.15994,1.139552,0.690573,1,1,3,2,1,5,3,5,5
ssp_socio3_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.17582,21.68353,5.39254,20.11043,17.937541999999997,1.894349,10.05098,4.16196,1.133874,0.696379,1,1,5,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12847,22.01084,5.90664,20.24294,17.843625,1.902252,9.84858,4.24348,1.144084,0.705229,2,2,1,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20841,22.35758,7.642639999999999,20.96365,18.874948,1.95114,10.52813,4.48803,1.159311,0.7483369999999999,2,2,2,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.10214,22.02566,6.40179,20.52036,18.101966,1.924398,9.96365,4.33859,1.156195,0.719133,2,2,3,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.12049,21.88683,4.62991,19.86938,17.266787,1.877101,9.4822,4.08526,1.144619,0.6776070000000001,2,2,4,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.09473,21.85575,6.41528,20.34511,18.105468,1.918621,9.99658,4.32072,1.150146,0.7194010000000001,2,2,5,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.04494,21.56499,2.3290800000000003,19.12345,15.796381999999998,1.809624,8.543989999999999,3.70572,1.125368,0.61168,2,1,1,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20777,22.42407,7.50265,21.14144,18.997718,1.944585,10.69849,4.462359999999999,1.148487,0.743796,2,1,2,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.08358,21.98635,5.22593,20.38418,17.74688,1.887405,9.84932,4.176480000000001,1.14252,0.691155,2,1,3,2,1,5,3,5,5
ssp_socio3_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.07365,21.73437,5.3604400000000005,20.16027,17.780465,1.884511,9.88497,4.17781,1.13864,0.694534,2,1,5,2,1,5,3,5,5
