scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio3_ag4_gwlo_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.725987,12.88009,16.65457,0.699104,55.30671410000001,4.5599500000000015,0.5769651,34.04899,2.883391,5.78246,7.454958,1,2,1,2,1,4,3,1,7,1,5,1,2,7,6,3,3
ssp_socio3_ag4_gwlo_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.786976,14.134799999999998,18.82981,0.755051,58.32428540000001,5.30555,0.5614384,35.64114,3.106102,5.97455,7.735505,1,2,2,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwlo_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.740318,13.71821,18.08749000000001,0.7336689999999999,56.977671799999996,5.10921,0.5601228,34.82605,3.028746,5.85666,7.596883,1,2,5,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.803696,14.413529999999998,19.30063,0.768331,59.0151102,5.43776,0.5632822,35.97241,3.156726,6.049189999999999,7.8357420000000015,2,2,1,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.786563,14.62258,19.733320000000003,0.7777750000000001,59.409446,5.60397,0.557474,36.1294,3.195602,6.06301,7.85999,2,2,2,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwmed_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.749933,13.20296,17.176209999999998,0.7192940000000001,55.869905499999994,4.743519999999999,0.5877104999999999,34.02876,2.968588,5.93567,7.605657000000001,2,2,3,2,1,4,3,1,7,3,5,1,2,7,6,3,3
ssp_socio3_ag4_gwmed_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.717354,13.066,17.04815,0.7084229999999999,55.9309161,4.67839,0.5690071,34.47869,2.913793,5.80379,7.487246000000001,2,2,4,2,1,4,3,1,7,3,5,1,2,7,6,3,3
ssp_socio3_ag4_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.776308,14.431730000000002,19.31888,0.766098,58.278783700000005,5.54012,0.5579536999999999,35.25781,3.158355,5.9863800000000005,7.778164999999999,2,2,5,2,1,4,3,1,7,3,5,1,7,7,4,3,3
ssp_socio3_ag4_gwmed_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.670645,12.89563,16.72831,0.701379,55.6809991,4.58065,0.5688221,34.478790000000004,2.882756,5.743040000000001,7.426941,2,1,2,2,1,4,3,1,7,1,5,1,2,7,6,3,3
ssp_socio3_ag4_gwmed_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.639647,12.43661,15.91196,0.677154,54.4432082,4.3693800000000005,0.5660031999999999,33.81483,2.794572,5.61461,7.2838129999999985,2,1,5,2,1,4,3,1,7,1,5,1,2,7,6,3,3
