scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,40.5238,1.573934,1.1209870000000002,0.00073941,30.229884000000002,0.447837,24.04145,4.71229,0.6147020000000001,0.30894,0.104665,3,1,3,1,2,4,5,4,2,1,2,6,7,3,0,7
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.478,2.0733930000000003,1.117173,0.00076558,31.0242046,0.507864,23.33977,5.84119,0.8827440000000001,0.317438,0.1351986,3,1,4,1,2,4,5,4,2,6,2,6,7,3,0,7
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,44.3707,2.154443,1.255758,0.00123648,30.336814300000004,0.437612,22.80084,5.57557,0.984978,0.374051,0.1637632999999999,3,1,4,2,2,4,5,4,2,6,2,6,7,3,5,7
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,41.1015,1.816465,1.104028,0.000747003,30.715884199999998,0.480282,23.74141,5.3028,0.7561249999999999,0.314479,0.1207882,3,1,5,1,2,4,5,4,2,6,2,6,7,3,0,7
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.40825,0.0,1.413628,0.0,29.92693420103345,0.0,29.71275,3.79874e-10,6.5358e-10,0.2141842,0.0,1,2,1,1,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.94654,0.0,1.398321,0.0,30.178089901082558,0.0,29.9808,3.97309e-10,6.85247e-10,0.1972899,0.0,1,2,3,1,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,10.51711,0.0,1.455542,0.0,30.712917501142915,0.0,30.52848,4.21622e-10,7.212919999999998e-10,0.1844375,0.0,1,2,4,1,2,4,5,0,4,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.51604,0.0,1.429483,0.0,31.264112301203433,0.0,31.11916,4.44379e-10,7.59051e-10,0.1449522999999999,0.0,1,2,5,1,2,4,5,7,0,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.34239,0.0,1.590915,7.34023e-05,29.168423000423587,0.0,28.90366,1.33252e-10,2.9033799999999993e-10,0.264763,0.0,1,2,5,2,2,4,5,0,6,4,4,3,3,3,4,7
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.94706,0.0,1.4303590000000002,0.0,29.46473340104583,0.0,29.25156,3.87936e-10,6.578959999999998e-10,0.2131733999999999,0.0,1,1,1,1,2,4,5,0,6,4,4,3,3,3,4,7
