scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag2_gwlo_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02609934,2.4989630000000003,0.907055,0.40827,9.7663517,2.18875,4.953753,0.2508675,0.0411365999999999,2.139924,0.1919206,1,2,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02702048,2.56711,0.936632,0.41856,9.7302869,2.207348,4.8740570000000005,0.2622585,0.0415199,2.150783,0.1943204999999999,1,1,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02692207,2.559334,0.931472,0.4175729999999999,9.7586057,2.205867,4.904723000000001,0.2612975,0.0415385,2.15102,0.1941597,1,1,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02650874,2.528995,0.921582,0.413864,9.639073900000001,2.185311,4.830935,0.2584198,0.0411625,2.130991,0.1922546,1,1,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02702951,2.549505,0.930374,0.4164989999999999,9.614416499999999,2.1849920000000003,4.804158999999999,0.2626324,0.041194,2.12826,0.1931791,1,1,4,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwlo_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02685414,2.532817,0.917649,0.4130279999999999,9.7453463,2.198649,4.905433,0.2610032,0.0413428,2.145064,0.1938542999999999,1,1,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02600561,2.527558,0.929102,0.412616,9.785117000000001,2.207639,4.937594000000002,0.2519038,0.0412315,2.153972,0.1927767,2,2,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02605294,2.514787,0.921806,0.41167,9.7844767,2.199496,4.950135,0.250946,0.0412455,2.1501840000000003,0.1924702,2,2,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02552036,2.479203,0.908139,0.4068199999999999,9.677709199999999,2.174925,4.903654,0.2436342,0.0408532,2.124888,0.1897547999999999,2,2,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02581502,2.497831,0.917985,0.40889,9.6187669,2.1692,4.8414980000000005,0.2516304,0.0408315,2.124972,0.190635,2,2,4,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02581763,2.485455,0.904306,0.407061,9.774359800000001,2.183966,4.974402,0.2457451,0.0411186999999999,2.13781,0.191318,2,2,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02621708,2.546975,0.93589,0.417254,9.719290699999998,2.201485,4.8764140000000005,0.2585018999999999,0.0414176,2.148027,0.1934452,2,1,1,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02624391,2.537469,0.92806,0.415868,9.7483408,2.199799,4.91005,0.2575611,0.0414058,2.14641,0.1931149,2,1,2,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0258990999999999,2.514859,0.920167,0.412806,9.621507000000001,2.179189,4.828254,0.2557764,0.0410816999999999,2.125723,0.1914829,2,1,3,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02618165,2.52863,0.929933,0.415116,9.5934971,2.1766400000000004,4.799663,0.2590633,0.0410996,2.124715,0.1923162,2,1,4,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag2_gwmed_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0260882,2.5128500000000003,0.914377,0.41166,9.7452279,2.194139,4.917524,0.2572473,0.0412320999999999,2.142146,0.1929395,2,1,5,2,1,2,3,1,0,3,7,6,7,0,3
ssp_socio3_ag4_gwhi_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03546609,3.042689,0.85898,0.448637,12.129879400000002,2.255726,7.216796,0.300213,0.0406958,2.070749,0.2456996,3,2,1,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03550659,3.034019,0.8550470000000001,0.448047,12.1623483,2.255434,7.251048,0.2993548,0.0407198,2.070225,0.2455667,3,2,2,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03490651,3.005528,0.845517,0.444375,12.0048409,2.232425,7.1425100000000015,0.2946499,0.0403384,2.052,0.2429176,3,2,3,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0352643,3.023671,0.854274,0.446062,11.9593577,2.233895,7.0837400000000015,0.3052008,0.0403450999999999,2.052004,0.2441728,3,2,4,2,1,4,3,6,0,4,3,4,5,0,3
ssp_socio3_ag4_gwhi_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03558943,3.030076,0.8525469999999999,0.446593,12.142443000000002,2.245905,7.250174,0.298042,0.0406265,2.06262,0.2450755,3,2,5,2,1,4,3,6,0,4,3,4,5,0,3
