scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.2877,15.31108,5.59158,0.50079,34.811704000000006,2.701114,6.8975800000000005,14.74857,3.60528,5.71746,1.1417,3,2,2,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.3943,13.792839999999998,4.809089999999999,0.319318,32.577904000000004,3.06535,6.45688,14.32823,3.01227,4.88651,0.8286640000000001,3,2,3,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,44.6217,15.23546,5.54151,0.474452,34.000606999999995,2.6701360000000003,6.609789999999999,14.39665,3.5526800000000005,5.685499999999998,1.085851,3,2,3,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.63500000000001,13.47766,4.82354,0.299165,31.921275999999995,2.96598,6.210280000000001,14.1877,2.93237,4.89736,0.727586,3,2,4,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.2023,15.31686,5.59132,0.48493,34.616487000000006,2.679575,6.800489999999999,14.75125,3.5805,5.68816,1.1165120000000002,3,2,4,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.8861,13.674119999999998,4.84825,0.304775,32.560529,3.03478,6.43807,14.37129,2.9933,4.98471,0.738379,3,2,5,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.2449,15.42318,5.569649999999998,0.470667,34.84147900000001,2.709307,6.955089999999999,14.72184,3.61016,5.73848,1.106602,3,2,5,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.31950000000001,13.30882,4.86543,0.313629,31.802162999999997,2.94092,6.21718,14.19845,2.86299,4.84612,0.736503,3,1,1,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.59050000000001,14.94347,5.56308,0.47186,33.843892000000004,2.609682,6.6440800000000015,14.45985,3.45121,5.62528,1.05379,3,1,1,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.0009,13.43551,4.85505,0.30379,31.936933000000003,2.9483900000000003,6.31155,14.19561,2.89582,4.87368,0.711883,3,1,2,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.6045,15.33965,5.59964,0.470737,34.584886999999995,2.6697680000000004,6.89192,14.689429999999998,3.56221,5.68004,1.091519,3,1,2,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.3096,13.03823,4.7764500000000005,0.296608,31.090407000000003,2.8689400000000003,6.18421,13.808330000000002,2.80241,4.74616,0.680357,3,1,3,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.4928,15.05531,5.565919999999999,0.46666,34.024592000000005,2.61886,6.78645,14.448570000000002,3.4922,5.61749,1.061022,3,1,3,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.38800000000001,13.19798,4.84687,0.298407,31.529734,2.88695,6.17439,14.11128,2.83777,4.8185400000000005,0.700804,3,1,4,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.4008,15.23223,5.61086,0.4673239999999999,34.544497,2.638373,6.76477,14.9055,3.52029,5.633380000000001,1.082184,3,1,4,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.40340000000001,13.27491,4.86577,0.302239,32.049912,2.94049,6.4115,14.22261,2.87663,4.89278,0.705902,3,1,5,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,45.0079,14.78518,5.5404,0.473392,33.913615,2.6069210000000003,6.78274,14.37742,3.4427700000000003,5.65394,1.049824,3,1,5,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.6148,13.65886,4.84567,0.298981,32.275065999999995,3.0001900000000004,6.2552,14.42133,2.95725,4.909669999999999,0.731426,1,2,1,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.2344,15.48619,5.5918600000000005,0.465402,34.811441,2.692333,6.825660000000001,14.91238,3.585,5.69567,1.100398,1,2,1,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.8575,13.759620000000002,4.85398,0.306901,32.604602,3.02147,6.3258600000000005,14.57566,2.99196,4.93984,0.749812,1,2,2,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.2098,15.50373,5.59537,0.47003,35.010521,2.704371,6.887160000000001,14.98035,3.60585,5.72299,1.1098,1,2,2,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.62,13.6416,4.7873800000000015,0.317692,32.421654000000004,3.00951,6.31715,14.42749,2.97831,4.8718400000000015,0.8173539999999999,1,2,3,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.46120000000001,15.449560000000002,5.5673,0.4840819999999999,34.878719,2.703863,6.82443,14.868429999999998,3.61741,5.70332,1.161266,1,2,3,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.5506,13.560660000000002,4.83064,0.300264,32.262665,2.96858,6.17435,14.556260000000002,2.93272,4.89578,0.7349749999999999,1,2,4,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.4072,15.50404,5.5984300000000005,0.468193,34.964663,2.687219,6.780340000000002,15.11798,3.58198,5.690250000000002,1.106894,1,2,4,2,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.8517,13.78696,4.85703,0.316115,32.95379200000001,3.04451,6.436,14.70737,3.01995,4.98266,0.7633019999999999,1,2,5,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,47.2423,15.511870000000002,5.562819999999999,0.471989,35.047335000000004,2.715184,6.96403,14.89705,3.61791,5.739269999999999,1.113891,1,2,5,2,2,4,3,3,5,1,4,4,2,6
