scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.031737,3.5988900000000004,24.67555,0.001112743,14.774834700000001,7.69433,2.9009560000000003,3.1510350000000003,0.1198884,0.9086253,2,2,1,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.3134200000000003,3.54931,25.60476,0.000874962,15.024203299999998,8.386389999999999,2.530271,3.27332,0.1185053,0.715717,2,2,2,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.0062990000000003,3.593467,24.7078,0.001113043,14.760363299999998,7.69119,2.888388,3.1535649999999995,0.1199121,0.9073082,2,2,2,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.333587,3.54538,25.40976,0.000872262,15.003764100000001,8.365400000000001,2.523926,3.27975,0.1183481,0.71634,2,2,3,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.0190360000000003,3.5887260000000003,24.51236,0.001111291,14.758220900000001,7.695289999999999,2.886491,3.1495990000000003,0.1198048,0.9070361,2,2,3,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.334886,3.53175,25.52734,0.000871057,14.938042900000001,8.30498,2.534745,3.26421,0.1184698999999999,0.715638,2,2,4,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.025703,3.58871,24.6276,0.001111784,14.7282247,7.66085,2.901898,3.13958,0.1195239,0.9063728,2,2,4,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.355967,3.5489900000000003,25.51401,0.00087473,15.030174499999998,8.352409999999999,2.552854,3.28623,0.1189615,0.719719,2,2,5,1,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,3.03278,3.590633,24.54782,0.0011103089999999,14.761609600000002,7.67692,2.906381,3.150446,0.1197803,0.9080823,2,2,5,2,2,3,5,3,5,0,6,5,0,4,7,4
ssp_ag3_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.344256,3.53411,25.6692,0.0008773959999999,15.042753699999999,8.35351,2.570903,3.27776,0.1187517,0.7218289999999999,2,1,1,1,2,3,5,3,5,0,6,5,0,4,7,4
