scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.502109,9.85151,11.43165,10.24871,14.809648999999999,0.48301,12.76263,0.743367,0.361359,0.459283,2,2,3,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.551949,9.96125,11.52609,10.30818,15.127391,0.483475,13.07583,0.744816,0.361324,0.461946,2,2,4,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.496751,9.77479,11.31463,10.1529,14.804373,0.481376,12.76609,0.7389819999999999,0.3597309999999999,0.4581940000000001,2,2,5,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.535232,9.91475,10.91444,10.26912,15.035002,0.481023,13.00778,0.736919,0.357353,0.451927,2,1,2,2,1,5,3,6,3,0
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.95011,6.35918,12.62418,6.59005,9.676362600000001,0.470598,7.88979,0.761293,0.408484,0.1461975999999999,3,2,1,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.934224,6.324680000000002,12.52526,6.593560000000001,9.630711699999999,0.467064,7.851199999999999,0.758525,0.407566,0.1463567,3,2,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.887784,6.27687,12.48399,6.55272,9.4686781,0.4668239999999999,7.69563,0.7573310000000001,0.4042929999999999,0.1446001,3,2,3,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.950703,6.36256,12.65365,6.62887,9.8012582,0.4670359999999999,8.01867,0.759576,0.408537,0.1474392,3,2,4,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.880764,6.21881,12.32385,6.5444700000000005,9.4517971,0.464718,7.681210000000001,0.7538600000000001,0.406067,0.1459421,3,2,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.936536,6.35461,12.54049,6.72417,9.7802476,0.466731,8.00662,0.7554259999999999,0.405529,0.1459416,3,1,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.868101,6.187180000000001,11.42464,6.51803,9.411322000000002,0.463315,7.6622400000000015,0.740696,0.404398,0.140673,3,1,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.920769,6.3632,12.58784,6.763089999999999,9.7825598,0.467683,7.994560000000001,0.764529,0.407627,0.1481607999999999,1,2,1,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.935431,6.3154900000000005,12.5296,6.5894,9.7148315,0.465993,7.937900000000001,0.757242,0.406871,0.1468255,1,2,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.820353,6.21827,12.67352,6.522469999999999,9.488284299999998,0.4632979999999999,7.734019999999999,0.7411490000000001,0.408033,0.1417842999999999,1,2,3,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.95692,6.36148,12.66208,6.61304,9.834483899999999,0.46716,8.052719999999999,0.759003,0.408416,0.1471848999999999,1,2,4,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.884437,6.21929,12.31233,6.532730000000001,9.573689700000001,0.46417,7.80685,0.751534,0.405188,0.1459477,1,2,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.953862,6.27122,12.66725,6.886760000000001,9.878453000000002,0.468253,8.10725,0.748042,0.405419,0.149489,1,1,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.891629,6.19482,11.50373,6.522,9.654590299999999,0.466247,7.899939999999999,0.74463,0.403701,0.1400722999999999,1,1,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.02948,6.34008,12.66437,6.59438,9.669578399999999,0.470101,7.88232,0.765962,0.40949,0.1417053999999999,2,2,1,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.934502,6.314780000000002,12.52263,6.59417,9.6906918,0.466476,7.912999999999999,0.757333,0.407037,0.1468458,2,2,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.89665,6.2666900000000005,12.47467,6.539899999999999,9.5248055,0.466271,7.751849999999999,0.757138,0.4040539999999999,0.1454925,2,2,3,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.950916,6.35607,12.65468,6.615460000000001,9.8175877,0.467018,8.036010000000001,0.7590319999999999,0.408457,0.1470707,2,2,4,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.880557,6.21865,12.32083,6.53998,9.485401900000001,0.464884,7.71582,0.7529640000000001,0.405815,0.1459189,2,2,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.897102,6.20385,11.3805,6.51039,9.4943396,0.460454,7.745379999999999,0.7451829999999999,0.403601,0.1397216,2,1,5,2,1,1,4,4,4,0
ssp_socio4_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.255282,6.43496,12.13015,6.29516,9.5500085,0.489292,7.70827,0.798495,0.405449,0.1485025,3,2,1,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.240949,6.39499,12.03246,6.308859999999999,9.5305184,0.486537,7.6935,0.7964060000000001,0.4047219999999999,0.1493534,3,2,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.1991110000000003,6.35155,12.00842,6.26163,9.416915099999999,0.48612,7.58563,0.794701,0.402531,0.1479330999999999,3,2,3,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.285399,6.790839999999999,11.94121,6.41704,9.747233600000001,0.492906,7.883960000000001,0.805766,0.398686,0.1659156,3,2,4,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.183686,6.29747,11.84092,6.25924,9.408647199999999,0.48372,7.58173,0.791521,0.40317,0.1485062,3,2,5,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2374210000000003,6.4325600000000005,12.03074,6.41907,9.669978300000002,0.484732,7.83725,0.795934,0.402694,0.1493683,3,1,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.173625,6.2952900000000005,11.05644,6.23606,9.328196699999998,0.482492,7.515919999999999,0.785269,0.4017679999999999,0.1427477,3,1,5,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.256134,6.42978,12.12391,6.297829999999999,9.6671179,0.48696,7.829169999999999,0.7974060000000001,0.404883,0.1486989,1,2,1,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2430440000000003,6.39905,12.04303,6.2972,9.621309700000001,0.485745,7.7869,0.795234,0.40418,0.1492507,1,2,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.223545,6.31949,12.0301,6.31564,9.563874199999999,0.4896109999999999,7.72358,0.7955800000000001,0.403068,0.1520351999999999,1,2,3,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.264437,6.44094,12.16736,6.31696,9.7415757,0.486251,7.90278,0.7971429999999999,0.405879,0.1495227,1,2,4,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.192199,6.303229999999999,11.83893,6.24622,9.492797699999997,0.48296,7.6690299999999985,0.789957,0.402406,0.1484446999999999,1,2,5,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.249239,6.40527,12.17276,6.3941300000000005,9.826801600000001,0.487572,7.99291,0.7940640000000001,0.401451,0.1508046,1,1,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.191879,6.3005200000000015,11.59034,6.29322,9.688664199999998,0.484377,7.870929999999999,0.7859109999999999,0.400359,0.1470872,1,1,5,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.259154,6.4013,11.96276,6.48345,9.700357199999997,0.489471,7.846839999999999,0.812623,0.399313,0.1521101999999999,2,2,1,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.246062,6.2201,12.12417,6.19413,9.4031438,0.487339,7.57465,0.7923530000000001,0.4077139999999999,0.1410878,2,2,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.185757,6.36656,12.01456,6.31033,9.4049861,0.483446,7.57949,0.7918810000000001,0.403093,0.1470761,2,2,3,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.25698,6.437049999999998,12.16498,6.32113,9.715474299999997,0.48615,7.8761899999999985,0.7975720000000001,0.406142,0.1494203,2,2,4,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.184919,6.30202,11.84875,6.25365,9.414653700000002,0.4842329999999999,7.58811,0.7908310000000001,0.403059,0.1484207,2,2,5,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.238246,6.4361,12.04178,6.4118200000000005,9.713251999999999,0.4844770000000001,7.8820299999999985,0.7950510000000001,0.402425,0.149269,2,1,2,2,1,5,4,4,4,0
ssp_socio4_ag5_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.148313,6.27634,11.04906,6.16469,9.334012000000001,0.47697,7.5411800000000015,0.7703800000000001,0.404505,0.140977,2,1,5,2,1,5,4,4,4,0
